ResponseName,RecommendationCount,IsFree,ScreenshotCount,PlatformWindows,PlatformMac,PlatformLinux,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer
Counter-Strike,68991,False,13,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Team Fortress Classic,2439,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Day of Defeat,2319,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Deathmatch Classic,888,False,4,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life: Opposing Force,2934,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Ricochet,1965,False,4,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life,12486,False,11,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Counter-Strike: Condition Zero,7067,False,8,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life: Blue Shift,2219,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life 2,35792,False,9,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Counter-Strike: Source,53931,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life: Source,2547,True,4,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Day of Defeat: Source,7185,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life 2: Deathmatch,4328,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life 2: Lost Coast,4352,True,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life Deathmatch: Source,864,True,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life 2: Episode One,4437,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Portal,27535,False,11,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Half-Life 2: Episode Two,6104,False,5,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Team Fortress 2,383949,True,11,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
Left 4 Dead,9980,False,12,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Left 4 Dead 2,140726,False,17,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
